first name,last name,Google Scholar URL
Serge,Belongie,https://scholar.google.com/citations?hl=en&user=chD5XxkAAAAJ
Sune,Lehmann,https://scholar.google.com/citations?hl=en&user=wvkUbiUAAAAJ
Mads,Nielsen,https://scholar.google.com/citations?hl=en&user=2QCJXEkAAAAJ
Lars Kai,Hansen,https://scholar.google.com/citations?hl=en&user=gQVuJh8AAAAJ
Thomas,Moeslund,https://scholar.google.com/citations?hl=en&user=XmkDts4AAAAJ
Zheng-Hua,Tan,https://scholar.google.com/citations?hl=en&user=fugL2E8AAAAJ
Dan Witzner,Hansen,https://scholar.google.com/citations?hl=en&user=B8A43fgAAAAJ
Hans,Gellersen,https://scholar.google.com/citations?hl=en&user=wmpvU_YAAAAJ
Alexandra,Andhov,https://scholar.google.com/citations?user=qRILnmsAAAAJ
Alexandros,IOSIFIDIS,https://scholar.google.com/citations?hl=en&user=KjsL0KEAAAAJ
Ali,Ramezani-Kebrya,https://scholar.google.com/citations?user=qZ8KukkAAAAJ&hl=en&oi=ao
Allan,Engsig-Karup,https://scholar.google.com/citations?user=UbWFbIkAAAAJ&hl=en
Alvaro,Torralba,https://scholar.google.com/citations?hl=en&user=zXjuraoAAAAJ
Anders,Christensen,https://scholar.google.com/citations?user=sKzmsq8AAAAJ&hl=en
Anders,Søgaard,https://scholar.google.com/citations?hl=en&user=x3I4CrYAAAAJ
Anders Bjorholm,Dahl,https://scholar.google.dk/citations?user=WsgfNRMAAAAJ&hl=en
Anders Nymark,Christensen,https://scholar.google.com/citations?user=bkWG4OYAAAAJ&hl=da
Andreas,Møgelmose,https://scholar.google.com/citations?user=OuMmK7kAAAAJ&hl=da
Andreas,Aakerberg,https://scholar.google.com/citations?user=DD26PFIAAAAJ&hl=en&oi=ao
Anja-Verena,Mudring,https://scholar.google.com/citations?user=QFZfklYAAAAJ&hl=en
Anna,Sapienza,https://scholar.google.it/citations?user=ghzDSbUAAAAJ&hl=it&oi=ao
Anna,Rogers,https://scholar.google.com/citations?user=5oCYOE0AAAAJ&hl=en
Anthony,Ebert,https://scholar.google.com/citations?user=mFPOEqwAAAAJ
Aritra,Dutta,https://scholar.google.com/citations?user=vquoiHsAAAAJ&hl=en&oi=ao
Arnav,Arora,https://scholar.google.com/citations?user=EQUUUUoAAAAJ&hl=en
Arpit,Bhatia,https://scholar.google.com/citations?user=TzSb1OsAAAAJ&hl=en
Arthur,Zimek,https://scholar.google.com/citations?user=Rfc8k-EAAAAJ
Aske,Mottelson,https://scholar.google.dk/citations?user=TJ4FMD8AAAAJ
Barbara,Plank,https://scholar.google.com/citations?user=5nGlwIQAAAAJ
Berian,James,https://scholar.google.com/citations?user=PABNxQQAAAAJ
Bo,Sørensen,https://scholar.google.com/citations?user=G6Stf2gAAAAJ
Boris,Düdder,https://scholar.google.de/citations?user=0ic62YwAAAAJ&hl=en
Bulat,Ibragimov,https://scholar.google.com/citations?user=IPQZ4bkAAAAJ&hl=en
Carmelo,Bellardita,https://scholar.google.com/citations?user=nAIGp7QAAAAJ&hl=it
Carsten,Schürmann,https://scholar.google.dk/citations?user=zZeKV74AAAAJ&hl=en
Cedomir,Stefanovic,https://scholar.google.dk/citations?user=Yn0o2ekAAAAJ&hl=da
Chen,LI,https://scholar.google.com/citations?user=mDgw3yoAAAAJ&hl=zh-CN
Cheol Ho,Jeong,https://scholar.google.com/citations?user=Yng7KDIAAAAJ
Christa,Gall,https://scholar.google.dk/citations?user=eaiILCIAAAAJ&hl=da
Christian,Igel,https://scholar.google.com/citations?user=d-jF4zIAAAAJ
Christian,Hardmeier,https://scholar.google.com/citations?user=AmRp1T0AAAAJ&hl=en&oi=ao
Christian M.,Dahl,https://scholar.google.com/citations?user=Sa49W7kAAAAJ&hl=da
Christina,Lioma,https://scholar.google.dk/citations?user=dXkFCYoAAAAJ&hl=en
Christos,Markos,https://scholar.google.com/citations?user=wOWBlK4AAAAJ
Chun Kit,Wong,https://scholar.google.com/citations?user=vJ9DLDQAAAAJ&hl=en
Costanza,Navarretta,https://scholar.google.com/citations?hl=en&user=9zYEnbIAAAAJ
Cumhur,Erkut,https://scholar.google.dk/citations?user=NPYFs5EAAAAJ&hl=en
Daniel,Hain,https://scholar.google.dk/citations?hl=da&user=7C8kR8EAAAAJ
Daniel,Hershcovich,http://scholar.google.com/citations?user=479qIucAAAAJ
Daniel,Spikol,https://scholar.google.com/citations?user=q_61LpYAAAAJ&hl=en
Daniel,Michelsanti,https://scholar.google.com/citations?user=Rk4O2mEAAAAJ
