first name,last name,Google Scholar URL,sanitized_username
Serge,Belongie,https://scholar.google.com/citations?hl=en&user=chD5XxkAAAAJ,serge_belongie
Sune,Lehmann,https://scholar.google.com/citations?hl=en&user=wvkUbiUAAAAJ,sune_lehmann
Mads,Nielsen,https://scholar.google.com/citations?hl=en&user=2QCJXEkAAAAJ,mads_nielsen
Lars Kai,Hansen,https://scholar.google.com/citations?hl=en&user=gQVuJh8AAAAJ,lars-kai_hansen
Thomas,Moeslund,https://scholar.google.com/citations?hl=en&user=XmkDts4AAAAJ,thomas_moeslund
Zheng-Hua,Tan,https://scholar.google.com/citations?hl=en&user=fugL2E8AAAAJ,zheng-hua_tan
Dan Witzner,Hansen,https://scholar.google.com/citations?hl=en&user=B8A43fgAAAAJ,dan-witzner_hansen
Hans,Gellersen,https://scholar.google.com/citations?hl=en&user=wmpvU_YAAAAJ,hans_gellersen
Alexandra,Andhov,https://scholar.google.com/citations?user=qRILnmsAAAAJ,alexandra_andhov
Alexandros,Iosifidis,https://scholar.google.com/citations?hl=en&user=KjsL0KEAAAAJ,alexandros_iosifidis
Ali,Ramezani-Kebrya,https://scholar.google.com/citations?user=qZ8KukkAAAAJ&hl=en&oi=ao,ali_ramezani-kebrya
Allan,Engsig-Karup,https://scholar.google.com/citations?user=UbWFbIkAAAAJ&hl=en,allan_engsig-karup
Alvaro,Torralba,https://scholar.google.com/citations?hl=en&user=zXjuraoAAAAJ,alvaro_torralba
Anders,Christensen,https://scholar.google.com/citations?user=sKzmsq8AAAAJ&hl=en,anders_christensen
Anders,Søgaard,https://scholar.google.com/citations?hl=en&user=x3I4CrYAAAAJ,anders_sogaard
Anders Bjorholm,Dahl,https://scholar.google.dk/citations?user=WsgfNRMAAAAJ&hl=en,anders-bjorholm_dahl
Anders Nymark,Christensen,https://scholar.google.com/citations?user=bkWG4OYAAAAJ&hl=da,anders-nymark_christensen
Andreas,Møgelmose,https://scholar.google.com/citations?user=OuMmK7kAAAAJ&hl=da,andreas_mogelmose
Andreas,Aakerberg,https://scholar.google.com/citations?user=DD26PFIAAAAJ&hl=en&oi=ao,andreas_aakerberg
Anja-Verena,Mudring,https://scholar.google.com/citations?user=QFZfklYAAAAJ&hl=en,anja-verena_mudring
Anna,Sapienza,https://scholar.google.it/citations?user=ghzDSbUAAAAJ&hl=it&oi=ao,anna_sapienza
Anna,Rogers,https://scholar.google.com/citations?user=5oCYOE0AAAAJ&hl=en,anna_rogers
Anthony,Ebert,https://scholar.google.com/citations?user=mFPOEqwAAAAJ,anthony_ebert
Aritra,Dutta,https://scholar.google.com/citations?user=vquoiHsAAAAJ&hl=en&oi=ao,aritra_dutta
Arnav,Arora,https://scholar.google.com/citations?user=EQUUUUoAAAAJ&hl=en,arnav_arora
Arpit,Bhatia,https://scholar.google.com/citations?user=TzSb1OsAAAAJ&hl=en,arpit_bhatia
Arthur,Zimek,https://scholar.google.com/citations?user=Rfc8k-EAAAAJ,arthur_zimek
Aske,Mottelson,https://scholar.google.dk/citations?user=TJ4FMD8AAAAJ,aske_mottelson
Barbara,Plank,https://scholar.google.com/citations?user=5nGlwIQAAAAJ,barbara_plank
Berian,James,https://scholar.google.com/citations?user=PABNxQQAAAAJ,berian_james
Bo,Sørensen,https://scholar.google.com/citations?user=G6Stf2gAAAAJ,bo_sorensen
Boris,Düdder,https://scholar.google.de/citations?user=0ic62YwAAAAJ&hl=en,boris_dudder
Bulat,Ibragimov,https://scholar.google.com/citations?user=IPQZ4bkAAAAJ&hl=en,bulat_ibragimov
Carmelo,Bellardita,https://scholar.google.com/citations?user=nAIGp7QAAAAJ&hl=it,carmelo_bellardita
Carsten,Schürmann,https://scholar.google.dk/citations?user=zZeKV74AAAAJ&hl=en,carsten_schurmann
Cedomir,Stefanovic,https://scholar.google.dk/citations?user=Yn0o2ekAAAAJ&hl=da,cedomir_stefanovic
Chen,LI,https://scholar.google.com/citations?user=mDgw3yoAAAAJ&hl=zh-CN,chen_li
Cheol Ho,Jeong,https://scholar.google.com/citations?user=Yng7KDIAAAAJ,cheol-ho_jeong
Christa,Gall,https://scholar.google.dk/citations?user=eaiILCIAAAAJ&hl=da,christa_gall
Christian,Igel,https://scholar.google.com/citations?user=d-jF4zIAAAAJ,christian_igel
Christian,Hardmeier,https://scholar.google.com/citations?user=AmRp1T0AAAAJ&hl=en&oi=ao,christian_hardmeier
Christian M.,Dahl,https://scholar.google.com/citations?user=Sa49W7kAAAAJ&hl=da,christian-m._dahl
Christina,Lioma,https://scholar.google.dk/citations?user=dXkFCYoAAAAJ&hl=en,christina_lioma
Christos,Markos,https://scholar.google.com/citations?user=wOWBlK4AAAAJ,christos_markos
Chun Kit,Wong,https://scholar.google.com/citations?user=vJ9DLDQAAAAJ&hl=en,chun-kit_wong
Costanza,Navarretta,https://scholar.google.com/citations?hl=en&user=9zYEnbIAAAAJ,costanza_navarretta
Cumhur,Erkut,https://scholar.google.dk/citations?user=NPYFs5EAAAAJ&hl=en,cumhur_erkut
Daniel,Hain,https://scholar.google.dk/citations?hl=da&user=7C8kR8EAAAAJ,daniel_hain
Daniel,Hershcovich,http://scholar.google.com/citations?user=479qIucAAAAJ,daniel_hershcovich
Daniel,Spikol,https://scholar.google.com/citations?user=q_61LpYAAAAJ&hl=en,daniel_spikol
Daniel,Michelsanti,https://scholar.google.com/citations?user=Rk4O2mEAAAAJ,daniel_michelsanti
Darko,Zibar,https://scholar.google.com/citations?user=ir13bnAAAAAJ&hl=en,darko_zibar
Davide,Mottin,https://scholar.google.it/citations?user=evZ9Q9EAAAAJ&hl=en,davide_mottin
Dennis,Ulmer,https://scholar.google.com/citations?user=rn9WoaEAAAAJ&hl=en,dennis_ulmer
Desmond,Elliott,https://scholar.google.dk/citations?user=OjYpMi4AAAAJ,desmond_elliott
Dimitrios,Chrysostomou,https://scholar.google.com/citations?user=bPSVAdQAAAAJ,dimitrios_chrysostomou
Dimitrios,Papadopoulos,https://scholar.google.com/citations?user=-_JAhdQAAAAJ,dimitrios_papadopoulos
Dimitris,Stamou,https://scholar.google.com/citations?user=FvkfeBYAAAAJ,dimitris_stamou
Efren,Fernandez-Grande,https://scholar.google.co.uk/citations?user=dkDABF8AAAAJ&hl=en,efren_fernandez-grande
Efren,Fernandez Grande,https://scholar.google.com/citations?hl=en&user=dkDABF8AAAAJ,efren_fernandez-grande
Eike,Petersen,https://scholar.google.com/citations?user=juRQtRgAAAAJ&hl=en,eike_petersen
Elias,Najarro,https://scholar.google.com/citations?user=x7EcQBMAAAAJ&hl,elias_najarro
Elizabeth,Baker,https://scholar.google.com/citations?user=d9E75-IAAAAJ&hl=en,elizabeth_baker
Erik,Dam,https://scholar.google.dk/citations?user=X_SLVUIAAAAJ&hl=en,erik_dam
Esmaeil,Nadimi,https://scholar.google.com/citations?user=hTIEBuEAAAAJ&hl=en,esmaeil_nadimi
Fabian,Mager,https://scholar.google.com/citations?user=8hHnlTgAAAAJ,fabian_mager
Federico,Delussu,https://scholar.google.com/citations?user=3yO7jOgAAAAJ,federico_delussu
Finn,Nielsen,https://scholar.google.com/citations?user=9cagBQYAAAAJ,finn_nielsen
Francesco,Da Ros,https://scholar.google.com/citations?user=9rLWY_YAAAAJ&hl=en,francesco_da-ros
Galadrielle,Humblot-Renaux,https://scholar.google.com/citations?user=ZkceHFcAAAAJ,galadrielle_humblot-renaux
Germans,Savcisens,https://scholar.google.com/citations?user=60I1M-oAAAAJ,germans_savcisens
Guandao,Yang,https://scholar.google.com/citations?user=_kElCmMAAAAJ&hl=en,guandao_yang
Guido,Makransky,https://scholar.google.ca/citations?user=syi-4TwAAAAJ&hl=en,guido_makransky
Hang,Yin,https://scholar.google.se/citations?hl=en&user=7VW7URUAAAAJ,hang_yin
Henning,Christiansen,https://scholar.google.com/citations?user=GfJwG40AAAAJ,henning_christiansen
Hua,Lu,https://scholar.google.com/citations?user=h1mExmcAAAAJ&hl=da,hua_lu
Hubert,Zając,https://scholar.google.com/citations?user=rr-Z8FAAAAAJ,hubert_zajac
Hugo A,López,https://scholar.google.com/citations?user=ZNtN05IAAAAJ&hl=en,hugo-a_lopez
Ioannis,Caragiannis,https://scholar.google.gr/citations?hl=en&user=FSIQi4IAAAAJ,ioannis_caragiannis
Isabelle,Augenstein,https://scholar.google.co.uk/citations?user=DjJp0dcAAAAJ&hl=da,isabelle_augenstein
Ivan,Nikolov,https://scholar.google.com/citations?user=K2m6cxcAAAAJ&hl=en,ivan_nikolov
Iván,López-Espejo,https://scholar.google.es/citations?user=MRePLRQAAAAJ&hl=en,ivan_lopez-espejo
Ivana,Konvalinka,https://scholar.google.com/citations?user=lOM8LloAAAAJ&hl=en,ivana_konvalinka
Jacopo,Mauro,https://scholar.google.it/citations?user=brh_I2kAAAAJ&hl=en,jacopo_mauro
Jakob,Bardram,https://scholar.google.dk/citations?user=pRriaUQAAAAJ&hl=da,jakob_bardram
Jalal,Kazempour,https://scholar.google.com/citations?hl=en&user=paWy7YYAAAAJ,jalal_kazempour
Jan,Østergaard,https://scholar.google.com/citations?hl=en&user=P7rpiNUAAAAJ,jan_ostergaard
Jannick Kirk,Sørensen,https://scholar.google.cz/citations?hl=en&user=mgOOAPQAAAAJ,jannick-kirk_sorensen
Jason,Burton,https://scholar.google.com/citations?user=-uFQHacAAAAJ,jason_burton
Jaspreet,Kaur,https://scholar.google.com/citations?user=vdUTAyAAAAAJ&hl=en,jaspreet_kaur
Jens Egholm,Pedersen,https://scholar.google.com/citations?user=A4VwxccAAAAJ&hl=en,jens-egholm_pedersen
Jens Ulrik,Hansen,https://scholar.google.com/citations?user=z-2DGOEAAAAJ&hl=en,jens-ulrik_hansen
Jes,Frellsen,https://scholar.google.com/citations?user=Yj2sBWkAAAAJ,jes_frellsen
Jichen,Zhu,https://scholar.google.com/citations?user=t5AZ2-AAAAAJ&hl=en,jichen_zhu
Joakim,Juhl,https://scholar.google.com/citations?user=hO6rB1sAAAAJ&hl=da,joakim_juhl
Joakim Bruslnd,Haurum,https://scholar.google.com/citations?user=GAEtgr4AAAAJ,joakim-bruslnd_haurum
Joanna,Bergström,https://scholar.google.dk/citations?user=NL1Q89sAAAAJ&hl=fi,joanna_bergstrom
Jon,Sporring,https://scholar.google.com/citations?user=COP1HUwAAAAJ,jon_sporring
Jonas,Peters,https://scholar.google.de/citations?user=kBQ4VvEAAAAJ&hl=da&oi=ao,jonas_peters
Jonas L,Juul,https://scholar.google.com/citations?user=uJPXFyMAAAAJ&hl=en,jonas-l_juul
Jonas Valbjørn,Andersen,https://scholar.google.com/citations?hl=da&user=gs8NZNsAAAAJ,jonas-valbjorn_andersen
kaare bjarke,mikkelsen,https://scholar.google.com/citations?user=DL5CvZoAAAAJ,kaare-bjarke_mikkelsen
Kamal,Nasrollahi,https://scholar.google.dk/citations?user=EqjkO6sAAAAJ&hl=en,kamal_nasrollahi
Kasper,Hornbæk,https://scholar.google.com/citations?user=S6VMDA8AAAAJ,kasper_hornbaek
Kasper Green,Larsen,https://scholar.google.com/citations?user=ZluoxUcAAAAJ&hl=en,kasper-green_larsen
Katja,Hose,https://scholar.google.com/citations?user=LbXvZUoAAAAJ,katja_hose
Ken,Pfeuffer,https://scholar.google.co.uk/citations?user=AqmxADkAAAAJ&hl=en,ken_pfeuffer
Kenny,Erleben,https://scholar.google.com/citations?user=CQkvlpUAAAAJ&hl=en,kenny_erleben
Kilian,Zepf,https://scholar.google.com/citations?user=epo_gP0AAAAJ,kilian_zepf
Kim,Steenstrup Pedersen,https://scholar.google.dk/citations?user=RzH2vKQAAAAJ,kim_steenstrup-pedersen
Kiril Vadimovic,Klein,https://scholar.google.com/citations?user=8k9TwncAAAAJ,kiril-vadimovic_klein
Kristian,Olesen,https://scholar.google.com/citations?user=K9aQCYQAAAAJ,kristian_olesen
Kristin,Kaltenhäuser,https://scholar.google.com/citations?user=cOSBlXgAAAAJ,kristin_kaltenhauser
Kristjan,Eldjarn,https://scholar.google.is/citations?user=K1H_xSgAAAAJ&hl=en,kristjan_eldjarn
Kristoffer Hougaard,Madsen,https://scholar.google.com/citations?user=2SFcdW0AAAAJ&hl=da,kristoffer-hougaard_madsen
Kyveli,Kompatsiari,https://scholar.google.com/citations?user=p8N1pgkAAAAJ&hl=en&oi=ao,kyveli_kompatsiari
Lasse,Heje Pedersen,https://scholar.google.com/citations?user=XhSFeucAAAAJ,lasse_heje-pedersen
