Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Serge Belongie","University of Copenhagen",144603,110,274,"Computer Vision;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=chD5XxkAAAAJ&citpid=3"
"Sune Lehmann","Professor, DTU Compute, Technical University of Denmark and Center for Social Data Science",10945,45,73,"Complex Networks;Social Networks;Social Data","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wvkUbiUAAAAJ&citpid=4"
"Mads Nielsen","Professor of Computer Science, University of Copenhagen",7744,44,143,"Computer Science;Computer vision;Machine Learning;Artificial Intelligence;Medical Applications","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2QCJXEkAAAAJ&citpid=2"
"Lars Kai Hansen","Professor, Cognitive Systems, DTU Compute, Technical University of Denmark",25788,69,241,"Machine learning;AI;neuroimaging;cognitive systems;signal processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gQVuJh8AAAAJ&citpid=2"
"Thomas Moeslund","Professor, Aalborg University",17875,52,204,"Computer Vision;AI","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XmkDts4AAAAJ&citpid=1"
"Zheng-Hua Tan","Professor of Machine Learning and Speech Processing, Aalborg University",6340,36,112,"Machine learning;deep learning;speech/speaker recognition;speech processing;multimodal.","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fugL2E8AAAAJ&citpid=2"
"Dan Witzner Hansen","Professor, IT University of Copenhagen",4594,27,47,"eye information;computer vision;ML;privacy","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=B8A43fgAAAAJ&citpid=3"
"Hans Gellersen","Professor of Interactive Systems, Lancaster University and Aarhus University",18828,70,204,"Human-Computer Interaction;Ubiquitous Computing;Gaze and Eye Movement","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wmpvU_YAAAAJ&citpid=3"
"Alexandra Andhov","Associate Professor, University of Copenhagen",148,6,2,"corporate law;securities regulation;corporate governance;fintech","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qRILnmsAAAAJ&citpid=1"
"Alexandros Iosifidis","Professor, Aarhus University",5776,40,121,"Machine Learning;Deep Learning;Computer Vision;Robot Perception;Financial Modeling","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KjsL0KEAAAAJ&citpid=69"
"Ali Ramezani-Kebrya","Associate Professor (with tenure) in CS at the University of Oslo",343,10,10,"Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qZ8KukkAAAAJ&citpid=11"
"M.Sc., Ph.D. Allan Peter Engsig-Karup","Associate Professor of Scientific Computing, Technical University of Denmark",1815,21,36,"Scientific Computing;Numerical Methods/Analysis for Differential Equations;High-Performance Computing;Computational Mathemati","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UbWFbIkAAAAJ&citpid=2"
"Álvaro Torralba","Aalborg University",1010,19,29,"Automated Planning;Heuristic Search;Artificial Intelligence","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXjuraoAAAAJ&citpid=4"
"Anders Lyhne Christensen","SDU Biorobotics, MMMI, University of Southern Denmark (SDU)",3939,31,84,"Autonomous robots;artificial intelligence;swarm intelligence;complex systems;evolutionary robotics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sKzmsq8AAAAJ&citpid=7"
"Anders Søgaard","Full Professor in NLP and Machine Learning, University of Copenhagen",8997,44,134,"Natural Language Processing;Machine Learning.","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x3I4CrYAAAAJ&citpid=8"
"Anders Bjorholm Dahl","Professor, Image Analysis, Technical University of Denmark",3683,25,55,"Image analysis","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WsgfNRMAAAAJ&citpid=2"
"Anders Nymark Christensen","Associate Professor - Technical University of Denmark",597,11,13,"Image analysis;Statistics;Imaging;Machine Learning;Deep learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bkWG4OYAAAAJ&citpid=2"
"Andreas Møgelmose","Assistant professor, Aalborg University",1917,16,20,"Computer vision;Machine learning;AI;Industrial vision;Driver assistance systems","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OuMmK7kAAAAJ&citpid=3"
"Andreas Aakerberg","PhD. Fellow, Milestone Research Programme at Aalborg University",79,5,3,"Computer vision;Image Processing;Deep Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DD26PFIAAAAJ&citpid=2"
"Prof. Dr. Anja-Verena Mudring","Aarhus University",8167,48,198,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QFZfklYAAAAJ&citpid=2"
"Anna Sapienza","KU - University of Copenhagen",526,13,18,"Applied mathematics;Network science;Machine learning;Computational social science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ghzDSbUAAAAJ&citpid=2"
